Signal (dBm),Speed (m/s),Distance from site (m),Call Test Duration (s),Call Test Result,Call Test Technology,Call Test Setup Time (s),MOS
-101,0.8199999928,256.07,60,1,1,3.31,4
-107,0,830.33,90,1,2,0.4,4
-107,0,830.32,90,1,2,0.5,4
-107,0,830.28,90,1,2,0.49,4
-103,0.8199999928,256.07,60,1,1,3.43,3
-107,0,830.3,90,1,2,0.4,4
-107,0,830.25,90,1,2,0.5,4
-103,0.8199999928,256.07,60,1,1,3.24,4
-107,0,830.25,90,1,2,0.49,4
-107,0,830.27,90,1,2,0.46,4
-108,0,830.32,90,1,2,0.45,4
-108,0,830.3,90,1,2,0.43,4
-108,0,830.29,90,1,2,0.38,4
-101,0.8199999928,256.07,60,1,1,3.08,4
-108,0,830.3,90,1,2,0.4,4
-108,0,830.31,90,1,2,0.41,4
-108,0,830.28,90,1,2,0.44,4
-107,0,830.33,90,1,2,0.68,4
-103,0.8199999928,256.07,60,1,1,3.32,3
-107,0,830.22,90,1,2,0.39,4
-107,0,830.2,90,1,2,0.43,4
-107,0,830.18,90,1,2,0.44,4
-107,0,830.21,90,1,2,0.4,4
-107,0,830.17,90,1,2,0.42,4
-107,0,830.36,90,1,2,0.39,4
-107,0,830.36,90,1,2,0.4,4
-103,0.8199999928,256.07,60,1,1,3.46,3
-107,0,830.35,90,1,2,0.51,4
-107,0,830.35,90,1,2,0.47,4
-107,0,830.29,90,1,2,0.46,4
-105,0.8199999928,256.07,60,1,1,3.69,4
-107,0,830.24,90,1,2,0.43,4
-107,0,830.17,90,1,2,0.54,4
-107,0,830.19,90,1,2,0.47,4
-107,0,830.14,90,1,2,0.39,4
-106,0,830.11,90,1,2,0.47,4
-106,0,830.4,90,1,2,0.51,4
-103,0.8199999928,256.07,60,1,1,3.68,4
-106,0,830.4,90,1,2,0.4,4
-107,0,830.54,90,1,2,0.44,4
-107,0,830.58,90,1,2,0.48,4
-103,0.8199999928,256.07,60,1,1,4.33,4
-107,0,830.64,90,1,2,0.35,4
-107,0,830.58,90,1,2,0.53,4
-103,0.8199999928,256.07,60,1,1,3.56,4
-107,0,830.55,90,1,2,0.47,4
-107,0,830.56,90,1,2,0.44,4
-107,0,830.6,90,1,2,0.44,4
-107,0,830.61,90,1,2,0.48,4
-107,0,807.29,90,1,2,0.54,4
-103,0.8199999928,256.07,60,1,1,4.63,4
-93,6.119999886,930,60,1,1,2.44,1
-107,0,809.25,90,1,2,0.44,4
-107,0,810.72,90,1,2,0.45,4
-107,0,812.38,90,1,2,0.5,4
-107,0,813.28,90,1,2,0.41,4
-103,0.8199999928,256.07,60,1,1,3.94,4
-107,0,812.82,90,1,2,0.44,4
-107,0,812.46,90,1,2,0.52,4
-107,0,812.18,90,1,2,0.4,4
-107,0,810.91,90,1,2,0.42,4
-107,0,810.79,90,1,2,0.49,4
-107,0,811.13,90,1,2,0.46,4
-99,0,1086.05,60,1,1,3.28,4
-107,0,811.11,90,1,2,0.41,4
-73,0,552.74,60,1,1,3.45,4
-107,0,811.27,90,1,2,0.42,4
-107,0,811.82,90,1,2,0.38,4
